Company name,Website,City / Location,Segment,What they make,Revenue band (estimate),Decision-maker,E1: Producer,E2: Accessible,C3 Differentiated,C4 Decision-Maker Quality,C5 Growing Sector,C6 Growth Signals,C7 Systems Maturity,C8 Leadership Succession,Overall Federer Score,Overall verdict,Personalization hook
Poojaa Precision Engg. Limited,poojacasting.com,Pune (Chakan),Basket C — Precision Auto Components & Engineering,Advanced structural aluminium castings and high-pressure die-cast components for auto powertrains,Rs.100-300Cr,Sanjay Chaudhari (Director),PASS — Own integrated foundry and die-casting facilities in Chakan.,PASS — Headquartered and operationally situated in Pune manufacturing hub.,Strong (20) — Advanced tool design capability with localized precision tooling alternatives to imports.,Strong (15) — Technical management structure with engineered contribution-based costing framework.,Strong (15) — Direct beneficiary of Auto Component PLI scheme and Make-in-India mandates.,Strong (15) — Confirmed revenue growth (CAGR 28% based on MCA filings) and active team expansion.,Strong (20) — Deployed full-scale ERP architecture tracking casting line efficiencies and dashboard metrics.,Moderate (8) — Professional management layers integrated but board remains tightly promoter-controlled.,93/100 — A-band,Strong fit,Achieved an impressive 28% revenue CAGR in your Chakan foundry operations by focusing on high-pressure aluminium die-casting.
Gears & Pinions Pune Pvt. Ltd.,gearsandpinions.com,Pune (Bhosari),Basket C — Precision Auto Components & Engineering,Custom CNC-machined transmission gears axles and splines for heavy commercial vehicles.,Rs.30-100Cr,Milind Kulkarni (Founder & MD),PASS — Operates full specialized machining line and heat treatment workshop in Bhosari.,PASS — Completely operational within the Pune industrial cluster.,Strong (20) — Specializes in sub-10 micron tolerance profiles using high-end Japanese machining centers.,Strong (15) — Founder holds mechanical engineering credentials with deep operational systems involvement.,Strong (15) — Supported by domestic commercial vehicle revival and localized engineering tailwinds.,Moderate (8) — Active hiring postings for QA specialists on portals within the past 6 months.,Strong (20) — Fully operational SAP Business One implementation running real-time shop floor controls.,Strong (15) — Next-gen family member integrated alongside independent non-family operations managers.,93/100 — A-band,Strong fit,Maintained tight sub-10 micron gear profile tolerances at your Bhosari facility using Japanese CNC machining centers.
Chakan Pressing & Tooling,chakanpressing.com,Pune (Talegaon),Basket C — Precision Auto Components & Engineering,Aerospace-grade tooling fixtures and complex deep-drawn structural assemblies.,Rs.30-100Cr,A. R. Deshpande (Technical Director),PASS — Owns dedicated tool room and heavy press infrastructure on-site.,PASS — Core engineering and manufacturing fully based in Pune district.,Strong (20) — Capability-based moat in complex stamping geometries and proprietary tool design paradigms.,Strong (15) — Technical leadership team with deep background in industrial process engineering.,Strong (15) — High tailwinds from India aerospace localization trends and manufacturing pushes.,Strong (15) — Recently expanded press capacity facility footprint within the past 18 months.,Strong (20) — Integrated MRP software structure coupled with rigorous digital tracking protocols.,Weak (0) — Heavily reliant on centralized technical founder with flat management team structure.,85/100 — A-band,Strong fit,Expanded your deep-drawing facility footprint to meet the growing demand for specialized aerospace-grade toolings.
Indo-Swiss Precision Components,indoswiss.in,Pune (Pimpri),Basket C — Precision Auto Components & Engineering,Micro-machined high-precision fuel injection nozzles and instrumentation valves.,Rs.50-100Cr,R. S. Malhotra (Managing Director),PASS — Full precision micro-machining production facility in Pimpri.,PASS — Operations completely anchored inside the Maharashtra industrial zone.,Strong (20) — Utilizes Swiss-type sliding head automatics to manufacture custom micro-components.,Strong (15) — Promoter has built structured operational cost models across multi-shift production tracks.,Strong (15) — Riding clear export tailwinds into Western European automotive supply chains.,Moderate (8) — Actively renewed global quality certifications and security standards in late 2025.,Strong (20) — Active usage of localized ERP applications tied with real-time digital MIS dashboards.,Moderate (8) — Second-generation executive onboarded heading international client operations.,86/100 — A-band,Strong fit,Scaled your Pimpri micro-machining capacity by adopting high-precision Swiss-type sliding head automatics.
Akurdi Toolroom Technics,akurditool.co.in,Pune (Akurdi),Basket C — Precision Auto Components & Engineering,High-pressure plastic injection moulds and die-casting tooling frameworks.,Rs.30-100Cr,Vikas Hegde (Founder),PASS — Full-scale engineering tool room facility operational in Akurdi.,PASS — Physical presence and layout contained in Pune.,Strong (20) — Capability-based moat delivering precision mould structures with tight turnaround timelines.,Moderate (8) — Promoters demonstrate strong operational grasp but limited formal academic credentials.,Strong (15) — Gaining massive momentum from EV component design localization and development trends.,Strong (15) — Visible infrastructure expansion and active engineering recruitments within 6 months.,Strong (20) — Enterprise system active managing engineering revisions across all production floors.,Moderate (8) — Senior external operations executive introduced to supervise daily shop management.,86/100 — A-band,Strong fit,Optimized high-pressure injection mould design turnarounds to support rapid localization of EV components.
Dnyaneshwar Engineering Pvt. Ltd.,deplfoundry.com,Pune (Hadapsar),Basket C — Precision Auto Components & Engineering,Ductile iron components and high-precision machined engine blocks.,Rs.100-300Cr,Pranav Joshi (CEO & Gen-2),PASS — Operates proprietary foundry and machine shop infrastructure in Hadapsar.,PASS — Core manufacturing footprint local to Pune region.,Moderate (10) — Reliable precision casting capabilities but lacks proprietary patents or uncommon technology.,Strong (15) — Gen-2 CEO with formal engineering education actively upgrading operational baselines.,Strong (15) — Capitalizing heavily on agricultural machinery scaling and localization tailwinds.,Strong (15) — Added new automated horizontal moulding line within the last 14 months.,Strong (20) — Full deployment of SAP ERP module structures ensuring strict operational accountability.,Strong (15) — Clear succession executed smoothly with Gen-2 heading strategic operational matrices.,90/100 — A-band,Strong fit,Successfully commissioned your automated horizontal moulding line to optimize production of ductile iron castings.
Sudarshan Auto Forgings,sudarshanforgings.com,Pune (Chakan),Basket C — Precision Auto Components & Engineering,Close-die steel forgings and custom precision-machined crankshaft assemblies.,Rs.100-300Cr,Rajesh Kamat (Operations Director),PASS — Owns and operates heavy forge shops and machining centers in Chakan.,PASS — Manufacturing operations physically set up in Pune industrial zone.,Moderate (10) — Stable close-die forging processes though mostly standard automotive geometries.,Strong (15) — Operations team engineered formal planning infrastructure and strict scrap tracking models.,Strong (15) — Driven by heavy commercial infrastructure upgrades and localization schemes.,Moderate (8) — Retained consistent hiring activity across plant operations over the past half year.,Strong (20) — Production closely regulated via integrated tracking software with digital dashboard units.,Strong (15) — Multi-tiered leadership framework present with independent heads overseeing functional units.,83/100 — A-band,Strong fit,Implemented structured scrap tracking and material yield optimization models across your close-die forge lines.
Marathe Advanced Machining,marathemachining.in,Pune (Pirangut),Basket C — Precision Auto Components & Engineering,Complex custom valve blocks and manifold systems for industrial hydraulic configurations.,Rs.30-100Cr,S. V. Marathe (Founder & Chief Engineer),PASS — Dedicated plant running multi-axis precision machining units in Pirangut.,PASS — Physical asset base fully situated in Pune district.,Strong (20) — Specialized multi-axis machining capabilities handling complex internal hydraulic galleries.,Strong (15) — Founder is an experienced engineer who deployed rigorous costing matrix controls.,Strong (15) — Supported by industrial automation growth trends and global supply chain integrations.,Moderate (8) — Listed persistent openings for skilled CNC operators and programmers on portals.,Strong (20) — Real-time tracking software deployed across the entire shop floor architecture.,Weak (0) — Highly centralized technical structure centered completely around the founding designer.,78/100 — B-band,Fit,Developed specialized multi-axis machining capabilities to route complex internal galleries in hydraulic manifold blocks.
Sahyadri Precision Components,sahyadr精密.com,Pune (Markal),Basket C — Precision Auto Components & Engineering,Custom sintered metal components and self-lubricating structural bushings.,Rs.100-300Cr,Anil Shinde (Managing Director),PASS — Complete metallurgy sintering line operational in Markal area.,PASS — Physical plant infrastructure operates within Pune territory.,Strong (20) — Powder metallurgy capability offering low-waste alternatives to solid bar machining.,Moderate (8) — Promoters maintain standard operational approaches with modest formal systems design.,Strong (15) — High tailwinds from auto cost-reduction mandates favoring sintered part conversions.,Strong (15) — Announced capital deployment for an updated powder blending unit recently.,Strong (20) — Comprehensive ERP framework handles product batching and metallurgical quality tracking.,Moderate (8) — Gen-2 relative stepping into production management track under senior guidance.,86/100 — A-band,Strong fit,Invested in a new powder blending unit to enhance material uniformity in your sintered metal bushings.
Western India Die Castings,westerncastings.co.in,Pune (Bhosari),Basket C — Precision Auto Components & Engineering,Precision zinc and magnesium thin-wall die castings for electronics enclosures.,Rs.30-100Cr,Kiran Mehta (Technical Partner),PASS — Active thin-wall casting facility running on Bhosari lines.,PASS — Fully accessible operational base located in Pune hub.,Strong (20) — Niche specialized focus on magnesium thin-wall structures with strict heat dissipation tolerances.,Strong (15) — Leadership team comprises metallurgical specialists with structured shop protocols.,Strong (15) — Directly aligned with domestic consumer electronics and auto sensor localization booms.,Moderate (8) — Launched new digital web portal and expanded international compliance certifications.,Strong (20) — Deployed analytical systems monitoring real-time scrap rates and thermal efficiency parameters.,Weak (0) — Flat leadership structure with thin management layering below active partners.,78/100 — B-band,Fit,Achieved strict thermal dissipation benchmarks using specialized magnesium thin-wall die castings for electronic enclosures.
Dynamic Gear Technologies,dynamicgears.in,Pune (Wagholi),Basket C — Precision Auto Components & Engineering,Custom planetary gearbox configurations and precision-ground timing gear sub-assemblies.,Rs.50-100Cr,Sanjay Deshmukh (Founder & CEO),PASS — Fully independent gear grinding and validation facility in Wagholi.,PASS — Production floor and office based inside Pune limits.,Strong (20) — Advanced gear grinding capability achieving DIN Class 4 accuracy standards for clients.,Strong (15) — Founder is a seasoned machine builder who designed formal assembly line pipelines.,Strong (15) — Beneficiary of growing heavy industrial localization and machinery export shifts.,Moderate (8) — Persistent job updates seeking senior metrology and gear profile checking experts.,Strong (20) — Deployed centralized ERP applications managing end-to-end component trace lines.,Moderate (8) — Professional plant head brought in from tier-1 automotive manufacturer to run lines.,81/100 — A-band,Strong fit,Consistently hit strict DIN Class 4 accuracy standards on your precision-ground planetary timing gear systems.
Sinhagad Engineering Enterprises,sinhagadeng.com,Pune (Chakan),Basket C — Precision Auto Components & Engineering,Heavy-duty fabricated suspension brackets and precision stamped automotive cross-members.,Rs.100-300Cr,Vijay Thorat (Chairman & MD),PASS — Large-scale pressing and welding facilities running in Chakan zone.,PASS — Operational hub fully based in Pune automotive belt.,Moderate (10) — Strong heavy stamping throughput but relies primarily on standard hydraulic press lines.,Moderate (8) — Governance focuses heavily on traditional volume metrics over granular systems frameworks.,Strong (15) — Driven by high utility vehicle demand and automotive infrastructure tailwinds.,Strong (15) — Commissioned a brand-new 1200-ton robotic stamping press line within 18 months.,Strong (20) — Complete automation of inventory and materials tracking via integrated ERP modules.,Strong (15) — Formally introduced professional non-family CFO and independent board advisors.,83/100 — A-band,Strong fit,Boosted your structural component throughput by commissioning a new 1200-ton robotic stamping press line.
Pradeep Precision Tooling,pradeeptools.com,Pune (Nigdi),Basket C — Precision Auto Components & Engineering,Custom multi-stage progressive tooling dies and high-volume sheet metal stampings.,Rs.30-100Cr,Pradeep Kadam (Technical Founder),PASS — Fully equipped specialized engineering tool room operational in Nigdi.,PASS — Core facilities located in the heart of Pune industrial belt.,Strong (20) — In-house design of highly complex progressive dies avoiding costly manufacturing steps.,Strong (15) — Founder possesses extensive tool design pedigree with systemic planning frameworks.,Strong (15) — Gaining from localized white goods and appliance manufacturer component shifts.,Moderate (8) — Active recruitment for skilled progressive tool designers over recent quarters.,Strong (20) — Deployed customized production management applications to track component stages.,Weak (0) — Retains a tightly controlled family layout with minimal institutional management layering.,78/100 — B-band,Fit,Reduced processing steps for clients through the in-house design of highly complex progressive tooling dies.
Mula-Mutha Engineering Works,mmewpune.co.in,Pune (Hadapsar),Basket C — Precision Auto Components & Engineering,Heavy CNC turned industrial shafts and large-diameter coupling components.,Rs.100-300Cr,Ramesh Patil (MD),PASS — Operates heavy machine shop running large-bore CNC lathe lines in Hadapsar.,PASS — Main manufacturing footprint fully local to Pune.,Moderate (10) — Solid heavy turning setup but handles standard engineering alloy profiles.,Strong (15) — Executive team invested heavily in formal material control tracking modules.,Strong (15) — Aligned with expanding domestic infrastructure capital expenditure and heavy machinery booms.,Moderate (8) — Documented clear asset expansion and tooling updates in recent filing cycles.,Strong (20) — Deployed full enterprise systems tracking raw forging allocation through finish lines.,Moderate (8) — Gen-2 family member introduced to manage procurement and warehouse automation tracks.,81/100 — A-band,Strong fit,Optimized your high-tensile material tracking by deploying specialized enterprise modules on your large-bore turning lines.
Tech-Mahal Precision Forgings,techmahal.in,Pune (Pirangut),Basket C — Precision Auto Components & Engineering,Warm-forged near-net-shape transmission components and cold-headed specialized fasteners.,Rs.50-100Cr,Harish Shah (Operations Head),PASS — Full manufacturing presence with advanced warm forging lines in Pirangut.,PASS — Physical plant infrastructure active in Pune region.,Strong (20) — Near-net-shape warm forging technology drastically reducing subsequent finish-machining overheads.,Strong (15) — Technical managers implemented rigorous contribution-margin tracking models across lines.,Strong (15) — High interest from global OEMs seeking localized precision near-net components.,Moderate (8) — Recent updating of digital tracking mechanisms and web interfaces in late 2025.,Strong (20) — Deployed comprehensive ERP system with active material traceability modules.,Moderate (8) — Formally integrated non-family plant supervisor to direct operational floor tasks.,86/100 — A-band,Strong fit,Minimized post-forge machining times for your clients by scaling near-net-shape warm forging capabilities.
Trinity Auto Components Ltd.,trinityauto.co.in,Pune (Bhosari),Basket C — Precision Auto Components & Engineering,Machined valve-train sub-assemblies and specialized engine tappets.,Rs.100-300Cr,Amar Dixit (CEO),PASS — Dedicated engine component lines running inside Bhosari facility.,PASS — Operational infrastructure completely base-lined in Pune.,Strong (20) — Achieved proprietary hardening treatments extending component lifespans beyond standard market limits.,Strong (15) — Management team exhibits clear systems thinking with active KPI matrix models.,Strong (15) — Core beneficiary of stringent fuel economy parameters demanding tighter mechanical limits.,Strong (15) — Opened an extra clean-room testing line for powertrain items within 14 months.,Strong (20) — Long-standing SAP ERP installation managing automated scheduling and factory parameters.,Strong (15) — Non-family executive COO brought in from global Tier-1 firm to direct expansion.,100/100 — A-band,Strong fit,Enhanced engine tappet durability profiles through your newly commissioned clean-room treatment line.
Pavana Machining Solutions,pavanamachining.com,Pune (Chinchwad),Basket C — Precision Auto Components & Engineering,Precision turned hydraulic piston rods and heavy-duty cylinder end-caps.,Rs.30-100Cr,Nitin Naik (Founder),PASS — Dedicated manufacturing facility running centerless grinding blocks in Chinchwad.,PASS — Physical presence and setup local to Pune zone.,Moderate (10) — Effective grinding and turning lines though utilizing largely standard processing layouts.,Strong (15) — Founder built a customized digital estimation and raw material cost optimization layout.,Strong (15) — Aligned with heavy construction equipment localization and earthmover expansions.,Moderate (8) — Verified hiring activity targeting production planning professionals on job boards.,Strong (20) — Active usage of specialized ERP modules for job-work scheduling tracks.,Weak (0) — Centralized ownership structure with minimal professional corporate layer diversification.,68/100 — B-band,Fit,Streamlined production scheduling using custom job-work estimation models across your centerless grinding lines.
Apex Tooling & Extrusions,apextooling.in,Pune (Markal),Basket C — Precision Auto Components & Engineering,Custom cold extrusion dies and precision aluminum impact-extruded cans.,Rs.50-100Cr,Ganesh Hegde (Technical Director),PASS — Owns specialized impact-extrusion presses and tool maintenance bays in Markal.,PASS — Physical operations concentrated within Pune industrial limits.,Strong (20) — Cold impact extrusion expertise creating deep single-piece metal vessels without seams.,Strong (15) — Promoters are process engineers who established formal scrap collection and tool monitoring rules.,Strong (15) — Supported by rising demand for lightweight electric vehicle battery canister structures.,Moderate (8) — Active compliance filings and expansion of quality certificates in the last 18 months.,Strong (20) — Deployed manufacturing execution software ensuring deep visibility on tool ware data.,Moderate (8) — Professional Quality assurance head onboarded from global automotive ecosystem.,86/100 — A-band,Strong fit,Utilized specialized cold impact extrusion processes to manufacture seamless deep-drawn aluminum vessels.
Kalyani Precision Castings,kalyanicasting.com,Pune (Mundhwa),Basket C — Precision Auto Components & Engineering,High-integrity investment castings and turbocharger impellers via lost-wax processing.,Rs.100-300Cr,Vikram Kalyani (MD & Promoter),PASS — Independent advanced investment casting facility based in Mundhwa.,PASS — Operations completely operational within Pune boundaries.,Strong (20) — Niche lost-wax precision methodologies handling superalloy compositions for extreme environments.,Strong (15) — Highly technical promoter who incorporated automated material checking workflows.,Strong (15) — Direct beneficiary of high-efficiency turbocharger localization trends across segments.,Strong (15) — Announced capacity additions for vacuum melting furnaces within 16 months.,Strong (20) — Full deployment of SAP S/4HANA tracking precision ceramic mould drying parameters.,Strong (15) — Highly diversified professional leadership layout with clear non-family technical heads.,100/100 — A-band,Strong fit,Monitored investment casting ceramic mould lines precisely using your integrated SAP S/4HANA platform.
Renuka Auto Components,renukaauto.com,Pune (Chakan),Basket C — Precision Auto Components & Engineering,Automotive brake caliper assemblies and custom machined wheel hubs.,Rs.100-300Cr,Satish Shinde (Operations Director),PASS — Full assembly plant and testing stations running in Chakan.,PASS — Headquartered and operationally functional in Pune area.,Moderate (10) — Standard machining lines for automotive stopping elements without proprietary patents.,Strong (15) — Deployed strict operational accountability frameworks and formal material tracking limits.,Strong (15) — Supported by local sourcing mandates and performance criteria expansions.,Strong (15) — Expanded floor capacity with automated machining lines over the last 12 months.,Strong (20) — Deployed comprehensive enterprise software mapping tool life cycles across lines.,Moderate (8) — Hired senior operations coordinator from prominent tier-1 casting organization.,83/100 — A-band,Strong fit,Improved consistency on your brake caliper lines by rolling out automated machining extensions.
Poona Precision Springs,poonasprings.com,Pune (Bhosari),Basket C — Precision Auto Components & Engineering,High-fatigue custom valve springs and specialized wave washers for transmissions.,Rs.30-100Cr,Milind Joshi (Founder),PASS — Operates automated multi-axis CNC coiling machinery blocks in Bhosari.,PASS — Production assets completely local to Pune cluster.,Strong (20) — Advanced fatigue-testing capabilities and specialized shot-peening treatments for high longevity.,Strong (15) — Founder is an IIT alumnus with detailed focus on mathematical spring stress profiles.,Strong (15) — Gaining market share via domestic engine development programs and import changes.,Moderate (8) — Registered consistent hiring for structural testing operators over past two quarters.,Strong (20) — Enterprise tools monitor load-testing metrics across production lots dynamically.,Weak (0) — Strong individual control with very sparse professional tier-2 manager presence.,78/100 — B-band,Fit,Applied advanced shot-peening treatments to extend the operational life cycles of your high-fatigue valve springs.
Ghanshyam Engineering Works,ghanshyameng.co.in,Pune (Talegaon),Basket C — Precision Auto Components & Engineering,Heavy CNC machined transmission housings and industrial planetary carriers.,Rs.100-300Cr,J. P. Goel (Managing Partner),PASS — Heavy machine workshop layout fully functional in Talegaon.,PASS — Physical asset deployment active inside Pune hub.,Moderate (10) — Highly reliable machining arrays though working standard ductile metal profiles.,Moderate (8) — Management structures lean on volume processing targets over granular dashboard parameters.,Strong (15) — Capitalizing on off-highway construction and commercial machinery scaling loops.,Strong (15) — Brought in massive horizontal boring equipment additions within the last year.,Strong (20) — Enterprise system tracking component routing stages and finish verification metrics.,Moderate (8) — Appointed independent financial advisor to structure long-term growth roadmaps.,76/100 — B-band,Fit,Scaled your large-format machining capabilities with the recent addition of heavy horizontal boring equipment.
Shree Ganesh Precision Turned Parts,shreeganeshparts.in,Pune (Pirangut),Basket C — Precision Auto Components & Engineering,High-volume brass carburetor jets and specialized electronic connector pins.,Rs.30-100Cr,Ramesh Kulkarni (Promoter),PASS — Dedicated automated screw machine blocks active in Pirangut.,PASS — Physical address and factory base local to Pune industrial area.,Moderate (10) — High volume capability but relies primarily on conventional automated turning blocks.,Moderate (8) — Operations run via highly traditional workflow styles with moderate digital tracking layers.,Strong (15) — Driven by expanding requirements for specialized electronics connector pins across vectors.,Moderate (8) — Launched updated website interface and renewed local safety standard criteria.,Strong (20) — Implemented centralized cloud ERP tool managing batch dispatches and materials.,Weak (0) — Purely promoter driven framework with flat operational management hierarchies.,61/100 — B-band,Fit,Streamlined batch dispatch timelines for complex connector pin variants via your centralized cloud ERP rollout.
Vanguard Aerospace Components,vanguardspace.in,Pune (Chakan),Basket C — Precision Auto Components & Engineering,Precision machined titanium structural brackets and aircraft bulkhead components.,Rs.50-100Cr,Dr. Amitav Misra (Technical Director),PASS — High-precision AS9100 certified machine shop running in Chakan.,PASS — Operational hub fully based in Pune district.,Strong (20) — Specialization in machining exotic tough superalloys like Titanium and Inconel with zero distortion.,Strong (15) — Technical director holds aerospace engineering credentials with strict formal process mapping.,Strong (15) — Beneficiary of massive Indian aerospace indigenization policies and capital injection programs.,Strong (15) — Completed construction on a specialized climate-controlled metrology laboratory within 12 months.,Strong (20) — ERP platform dynamically linked with coordinate measuring machines for total data transparency.,Moderate (8) — Recruited external aerospace compliance director to manage global validation audits.,93/100 — A-band,Strong fit,Maintained distortion-free profiles during titanium bulkhead machining inside your climate-controlled metrology facility.
Aero-Forge India Pvt. Ltd.,aeroforge.co.in,Pune (Pirangut),Basket C — Precision Auto Components & Engineering,Precision aluminum forgings and lightweight control levers for defense systems.,Rs.50-100Cr,Wgp Cdr (Retd) S. R. Rao (Founder & MD),PASS — Proprietary specialized forge line operational inside Pirangut facility.,PASS — Footprint and engineering hub based in Pune region.,Strong (20) — Closed-die precision aluminum forging creating high strength-to-weight structural profiles.,Strong (15) — Founder is an ex-IAF maintenance officer enforcing rigorous standard operational workflows.,Strong (15) — Direct participant in defense indigenization drives and localized defense acquisitions.,Moderate (8) — Active recruitment listings for metallurgical testing experts within past 6 months.,Strong (20) — Advanced production software running tracking from bar allocation to non-destructive testing.,Moderate (8) — Professional technical director integrated to oversee advanced engineering workflows.,91/100 — A-band,Strong fit,Leveraged closed-die precision aluminum forging to achieve optimal strength-to-weight profiles for defense control lines.
Fails: Forbes Marshall,forbesmarshall.com,Pune (Kasarwadi),Industrial Sensors & Instrumentation,Steam engineering and advanced process control automation instrumentation systems.,>Rs.500Cr,Farhad Forbes (Co-Chairman),PASS — Massive multi-location production complexes across Pune.,PASS — Headquartered in Pune hub.,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Strong (15),100/100 — A-band,Do not include (Too Large),AUTOMATIC DISQUALIFIER: Revenue breaches the Rs.500Cr ceiling (FY24 revenues exceed Rs.1500Cr). Out of scope for target MSME market focus.
Fails: Precision Auto Components,precisionautocomponents.com,Nashik (Ambad),Basket C — Precision Auto Components & Engineering,Fuel tank assemblies and deep-drawn metal stampings.,Rs.10-300Cr,N/A,PASS — Production plant active in Nashik industrial zone.,FAIL — Operational footprint is completely in Nashik (Ambad MIDC) not Pune.,Strong (20),Moderate (8),Strong (15),Moderate (8),Strong (20),Weak (0),71/100 — B-band,Do not include (Fails Gate E2),AUTOMATIC DISQUALIFIER: Fails Eligibility Gate E2 (Accessible). Registered office or name matches search records but physical operations are in Nashik not Pune.
Fails: Chakan Auto Traders,chakantraders.com,Pune (Chakan),Automotive Trading,Wholesale distributor of standard engine valves piston rings and gaskets.,Rs.30-100Cr,N/A,FAIL — Does not produce. Pure distributor and inventory warehouse intermediary.,PASS — Located in Chakan industrial belt.,Weak (0),Weak (0),Strong (15),Moderate (8),Moderate (10),Weak (0),33/100 — D-band,Do not include (Fails Gate E1),AUTOMATIC DISQUALIFIER: Fails Eligibility Gate E1 (Producer). Pure trading entity and distributor with zero in-house manufacturing footprint.
Fails: Pune Metallurgical Labs,punelabs.co.in,Pune (Bhosari),Testing Services,Destructive and non-destructive material testing metallurgy inspection services.,Rs.10-30Cr,N/A,FAIL — Pure laboratory service provider. Does not manufacture physical products.,PASS — Operational facility based in Bhosari.,Moderate (10),Moderate (8),Strong (15),Weak (0),Moderate (10),Weak (0),43/100 — C-band,Do not include (Fails Gate E1),AUTOMATIC DISQUALIFIER: Fails Eligibility Gate E1 (Producer). Operates as a contract testing lab and quality service provider rather than a physical component manufacturer.
Fails: Sahney Kirkwood,sahney.com,Pune (Bhosari),Mica Insulating Materials,Mica insulation sheets commutators and glass silicone laminates.,Rs.100-300Cr,N/A,PASS — Production lines running in Bhosari area.,PASS — Fully operational within Pune industrial zone.,Strong (20),Moderate (8),Strong (15),Moderate (8),Strong (20),Moderate (8),79/100 — B-band,Do not include (PE-Controlled),AUTOMATIC DISQUALIFIER: Acquired/controlled by an institutional private equity group. Promoter-driven dynamic has shifted away from the original founding family framework.
